iter	Passed	Remaining
0	71	71871
1	79	39589
2	86	28799
3	93	23404
4	100	20091
5	107	17878
6	114	16234
7	121	15026
8	128	14113
9	134	13322
10	141	12742
11	148	12234
12	155	11777
13	161	11398
14	169	11114
15	176	10863
16	182	10577
17	190	10373
18	196	10160
19	203	9979
20	210	9817
21	217	9690
22	224	9556
23	231	9434
24	239	9340
25	244	9140
26	251	9067
27	259	9005
28	267	8950
29	274	8867
30	281	8797
31	288	8734
32	296	8687
33	303	8621
34	310	8565
35	317	8510
36	325	8461
37	331	8398
38	339	8368
39	346	8326
40	354	8291
41	361	8244
42	368	8207
43	376	8175
44	383	8141
45	391	8111
46	398	8086
47	405	8049
48	413	8025
49	421	8003
50	428	7978
51	436	7964
52	444	7946
53	452	7929
54	460	7906
55	468	7896
56	476	7875
57	483	7853
58	491	7831
59	498	7809
60	506	7791
61	513	7772
62	521	7753
63	528	7732
64	536	7719
65	544	7698
66	552	7688
67	560	7678
68	567	7654
69	575	7640
70	583	7631
71	590	7615
72	598	7599
73	605	7579
74	613	7566
75	621	7551
76	628	7532
77	635	7510
78	642	7495
79	650	7482
80	658	7471
81	665	7454
82	673	7440
83	681	7426
84	688	7413
85	696	7398
86	703	7382
87	710	7362
88	717	7348
89	724	7330
90	732	7319
91	739	7301
92	747	7286
93	754	7270
94	760	7249
95	767	7231
96	775	7221
97	783	7209
98	790	7194
99	797	7177
100	804	7165
101	812	7157
102	819	7138
103	826	7123
104	833	7108
105	841	7097
106	848	7084
107	856	7073
108	863	7056
109	870	7040
110	877	7026
111	884	7012
112	891	6996
113	898	6985
114	906	6974
115	913	6958
116	920	6945
117	927	6931
118	934	6919
119	942	6908
120	949	6899
121	957	6889
122	964	6879
123	972	6868
124	979	6853
125	986	6839
126	993	6831
127	1001	6825
128	1009	6817
129	1017	6806
130	1023	6791
131	1031	6784
132	1039	6773
133	1046	6763
134	1053	6749
135	1060	6739
136	1067	6725
137	1074	6714
138	1082	6706
139	1090	6696
140	1097	6686
141	1104	6673
142	1111	6663
143	1119	6654
144	1126	6644
145	1134	6635
146	1141	6625
147	1148	6613
148	1155	6598
149	1163	6590
150	1170	6580
151	1177	6570
152	1185	6560
153	1192	6551
154	1199	6539
155	1206	6525
156	1214	6518
157	1220	6505
158	1227	6495
159	1235	6485
160	1242	6475
161	1249	6464
162	1256	6452
163	1263	6442
164	1271	6432
165	1278	6423
166	1285	6414
167	1293	6404
168	1300	6394
169	1307	6382
170	1314	6371
171	1322	6364
172	1329	6356
173	1336	6345
174	1343	6335
175	1351	6327
176	1358	6316
177	1365	6305
178	1372	6294
179	1379	6285
180	1386	6273
181	1393	6265
182	1400	6253
183	1408	6245
184	1415	6236
185	1422	6224
186	1429	6215
187	1436	6205
188	1443	6195
189	1451	6186
190	1459	6179
191	1466	6172
192	1474	6163
193	1481	6154
194	1489	6147
195	1496	6137
196	1503	6128
197	1510	6117
198	1516	6105
199	1524	6098
200	1531	6089
201	1539	6080
202	1546	6073
203	1553	6063
204	1562	6058
205	1569	6048
206	1576	6040
207	1584	6032
208	1590	6021
209	1598	6012
210	1605	6004
211	1613	5997
212	1620	5988
213	1627	5978
214	1635	5970
215	1642	5962
216	1649	5951
217	1657	5945
218	1664	5934
219	1670	5924
220	1678	5916
221	1686	5908
222	1693	5899
223	1700	5890
224	1708	5883
225	1715	5873
226	1721	5863
227	1729	5855
228	1736	5845
229	1743	5838
230	1751	5829
231	1758	5820
232	1765	5811
233	1773	5804
234	1780	5795
235	1787	5787
236	1794	5778
237	1802	5769
238	1809	5762
239	1816	5752
240	1823	5744
241	1831	5736
242	1838	5726
243	1845	5718
244	1853	5710
245	1860	5702
246	1867	5693
247	1874	5683
248	1881	5674
249	1888	5665
250	1895	5655
251	1903	5649
252	1910	5640
253	1917	5630
254	1924	5621
255	1930	5610
256	1937	5600
257	1944	5593
258	1952	5584
259	1959	5576
260	1966	5567
261	1974	5560
262	1981	5551
263	1988	5544
264	1995	5534
265	2003	5528
266	2010	5519
267	2017	5510
268	2024	5502
269	2032	5495
270	2040	5488
271	2048	5481
272	2055	5474
273	2062	5465
274	2070	5457
275	2077	5450
276	2085	5442
277	2091	5431
278	2098	5422
279	2105	5414
280	2112	5405
281	2120	5398
282	2127	5390
283	2134	5380
284	2141	5372
285	2148	5364
286	2156	5357
287	2163	5348
288	2170	5341
289	2177	5332
290	2184	5323
291	2191	5313
292	2198	5306
293	2206	5297
294	2213	5288
295	2220	5280
296	2227	5271
297	2233	5261
298	2241	5254
299	2248	5246
300	2256	5239
301	2263	5232
302	2271	5224
303	2277	5213
304	2284	5206
305	2291	5197
306	2299	5190
307	2305	5180
308	2314	5176
309	2322	5169
310	2330	5162
311	2336	5152
312	2344	5144
313	2350	5136
314	2357	5127
315	2364	5119
316	2372	5111
317	2379	5102
318	2386	5095
319	2393	5086
320	2401	5079
321	2409	5073
322	2416	5064
323	2423	5057
324	2430	5048
325	2438	5042
326	2446	5034
327	2453	5027
328	2461	5019
329	2468	5011
330	2475	5002
331	2482	4995
332	2489	4987
333	2496	4978
334	2504	4971
335	2512	4965
336	2520	4958
337	2527	4950
338	2534	4941
339	2541	4934
340	2548	4925
341	2555	4917
342	2563	4909
343	2570	4902
344	2578	4894
345	2586	4888
346	2593	4880
347	2600	4872
348	2608	4864
349	2615	4857
350	2622	4848
351	2629	4840
352	2636	4832
353	2643	4824
354	2650	4815
355	2657	4808
356	2664	4799
357	2672	4792
358	2680	4785
359	2687	4778
360	2695	4770
361	2702	4762
362	2709	4755
363	2717	4747
364	2724	4739
365	2731	4732
366	2738	4724
367	2746	4717
368	2753	4709
369	2761	4701
370	2768	4693
371	2775	4686
372	2783	4678
373	2789	4668
374	2796	4661
375	2803	4653
376	2813	4649
377	2820	4640
378	2828	4634
379	2836	4627
380	2842	4618
381	2851	4612
382	2859	4605
383	2866	4598
384	2873	4590
385	2880	4582
386	2888	4574
387	2896	4568
388	2903	4560
389	2911	4553
390	2919	4547
391	2926	4539
392	2933	4531
393	2941	4523
394	2947	4514
395	2953	4505
396	2960	4496
397	2967	4488
398	2974	4479
399	2981	4472
400	2988	4464
401	2995	4456
402	3002	4447
403	3009	4440
404	3016	4432
405	3024	4424
406	3031	4416
407	3038	4409
408	3044	4399
409	3052	4392
410	3059	4384
411	3067	4377
412	3073	4368
413	3081	4361
414	3087	4352
415	3095	4345
416	3101	4336
417	3109	4328
418	3115	4320
419	3121	4311
420	3128	4303
421	3135	4295
422	3143	4287
423	3150	4279
424	3156	4270
425	3163	4263
426	3171	4255
427	3179	4249
428	3187	4242
429	3193	4233
430	3201	4226
431	3208	4218
432	3215	4210
433	3223	4203
434	3230	4196
435	3237	4188
436	3245	4181
437	3253	4174
438	3260	4166
439	3267	4158
440	3274	4151
441	3282	4143
442	3289	4136
443	3296	4128
444	3304	4121
445	3311	4113
446	3321	4108
447	3328	4101
448	3335	4093
449	3343	4086
450	3350	4078
451	3356	4069
452	3363	4061
453	3371	4054
454	3378	4047
455	3386	4040
456	3393	4032
457	3401	4025
458	3408	4017
459	3415	4009
460	3423	4002
461	3430	3994
462	3437	3986
463	3444	3978
464	3451	3971
465	3459	3963
466	3466	3955
467	3472	3947
468	3480	3940
469	3487	3933
470	3495	3926
471	3503	3918
472	3510	3911
473	3517	3903
474	3524	3895
475	3530	3887
476	3538	3879
477	3545	3872
478	3553	3864
479	3561	3857
480	3568	3850
481	3575	3842
482	3582	3834
483	3589	3826
484	3597	3819
485	3605	3813
486	3612	3805
487	3620	3798
488	3627	3790
489	3635	3783
490	3643	3776
491	3650	3769
492	3658	3762
493	3665	3754
494	3672	3746
495	3680	3739
496	3687	3732
497	3694	3724
498	3702	3717
499	3709	3709
500	3716	3702
501	3724	3695
502	3731	3687
503	3738	3679
504	3746	3672
505	3753	3664
506	3761	3657
507	3768	3650
508	3776	3642
509	3784	3635
510	3791	3628
511	3799	3621
512	3806	3613
513	3813	3606
514	3820	3598
515	3826	3589
516	3834	3582
517	3842	3575
518	3849	3567
519	3856	3559
520	3863	3552
521	3870	3544
522	3878	3537
523	3885	3530
524	3894	3523
525	3901	3516
526	3909	3508
527	3916	3500
528	3923	3493
529	3931	3486
530	3938	3478
531	3946	3471
532	3953	3464
533	3960	3456
534	3968	3449
535	3975	3441
536	3982	3433
537	3988	3424
538	3995	3417
539	4001	3408
540	4009	3401
541	4016	3393
542	4023	3386
543	4031	3378
544	4038	3371
545	4045	3363
546	4052	3356
547	4060	3349
548	4068	3342
549	4075	3334
550	4082	3326
551	4090	3319
552	4097	3312
553	4104	3304
554	4111	3296
555	4119	3289
556	4126	3281
557	4133	3274
558	4141	3267
559	4148	3259
560	4155	3251
561	4163	3244
562	4170	3237
563	4177	3229
564	4185	3222
565	4194	3215
566	4201	3208
567	4208	3200
568	4215	3193
569	4222	3185
570	4229	3177
571	4237	3170
572	4245	3163
573	4253	3156
574	4261	3149
575	4269	3142
576	4276	3135
577	4284	3128
578	4291	3120
579	4299	3113
580	4306	3105
581	4312	3097
582	4320	3090
583	4327	3082
584	4333	3074
585	4340	3066
586	4348	3059
587	4355	3051
588	4362	3044
589	4369	3036
590	4377	3029
591	4384	3021
592	4392	3014
593	4398	3006
594	4406	2999
595	4413	2991
596	4420	2984
597	4427	2976
598	4435	2969
599	4443	2962
600	4450	2954
601	4457	2947
602	4464	2939
603	4472	2932
604	4480	2925
605	4487	2917
606	4494	2910
607	4502	2902
608	4509	2895
